score,model,kernel,AUDRC,Success Rate,experiment
kde,nn,exp,0.9454067339095057,0.77,velocity
stein,lsnm,gauss,0.907618481450839,0.75,velocity
kde,lsnm,exp,0.8506210814379881,0.72,velocity
lik,loci,loci,0.8689844262924828,0.61,velocity
lik,loci,spline,0.7887235279464869,0.6,velocity
stein,anm,gauss,0.7738879216261061,0.54,velocity
hsic,loci,spline,0.0061116410565907955,0.07,velocity
hsic,loci,loci,0.005183720809102566,0.06,velocity
stein,parametric-lin,exp,0.37080460357708206,0.44,sim
hybrid,parametric-quad,exp,0.3758411012201996,0.39,sim
stein,nn,exp,0.37190982358384234,0.44,sim
stein,lsnm,gauss,0.6967220278513229,0.66,sim
hybrid,anm,gauss,0.44318236504004593,0.45,sim
stein,parametric-lin,gauss,0.5832998782478558,0.58,sim
hybrid,parametric-lin,gauss,0.4042065786021433,0.46,sim
kde,anm,gauss,0.40660389460578555,0.47,sim
stein,parametric-quad,gauss,0.6684362153982073,0.63,sim
hybrid,lsnm,gauss,0.4315019045243307,0.44,sim
stein,nn,gauss,0.6067524813695127,0.54,sim
hybrid,anm,exp,0.3995189131594006,0.41,sim
kde,anm,exp,0.3768484085844868,0.38,sim
kde,nn,gauss,0.3810554735945356,0.41,sim
stein,parametric-quad,exp,0.37017166977275784,0.43,sim
hybrid,lsnm,gauss,0.8874995003622226,0.74,simg
hybrid,parametric-quad,exp,0.8696099968638785,0.76,simg
stein,parametric-quad,gauss,0.8711345732303751,0.78,simg
kde,anm,exp,0.7348818059541243,0.56,simg
stein,lsnm,gauss,0.9306349668287478,0.78,simg
stein,nn,exp,0.8191974445446861,0.67,simg
stein,nn,gauss,0.859251302653608,0.73,simg
hybrid,parametric-lin,gauss,0.6234810998710337,0.49,simg
stein,parametric-lin,gauss,0.5812692344704945,0.49,simg
kde,anm,gauss,0.7630819933213495,0.6,simg
hybrid,anm,exp,0.9284700535616084,0.82,simg
hybrid,anm,gauss,0.8646911480687449,0.67,simg
stein,parametric-lin,exp,0.8169621824274427,0.65,simg
kde,nn,gauss,0.9156980923421567,0.78,simg
stein,parametric-quad,exp,0.8275390088892871,0.66,simg
stein,nn,gauss,0.5987646593598337,0.5403615425137825,tuebingen
hybrid,anm,exp,0.5225964746763279,0.45497339279224985,tuebingen
hybrid,anm,gauss,0.5280083798934151,0.5365359640992848,tuebingen
stein,parametric-quad,gauss,0.5507723115557386,0.5086498074533987,tuebingen
kde,nn,gauss,0.4966659787035966,0.5016522104124469,tuebingen
hybrid,lsnm,gauss,0.5132513251325136,0.49669483077340015,tuebingen
stein,lsnm,gauss,0.5177927661530617,0.45704957194650947,tuebingen
hybrid,parametric-lin,gauss,0.4795876895650735,0.5090329287084588,tuebingen
stein,parametric-lin,exp,0.6798313127132946,0.5883136748934444,tuebingen
kde,anm,exp,0.682572143991097,0.6374433417188059,tuebingen
stein,nn,exp,0.6809806623075492,0.5789243870764186,tuebingen
hybrid,parametric-quad,gauss,0.4828990463488128,0.5187997036444411,tuebingen
kde,anm,gauss,0.6477270050731673,0.5969592567447649,tuebingen
stein,parametric-lin,gauss,0.5401360986914819,0.41152575222759663,tuebingen
kde,parametric-quad,gauss,0.5296781892755467,0.4592187143464826,tuebingen
hybrid,parametric-quad,exp,0.5132673267756751,0.45119852160268653,tuebingen
stein,parametric-quad,exp,0.6803115662503526,0.5883136748934444,tuebingen
lik,loci,loci,1.0,1.0,an
hsic,loci,loci,0.9997989898989899,0.99,an
kde,nn,exp,0.998165955169453,0.98,an
kde,lsnm,exp,0.9983305093734693,0.98,an
kde,nn,gauss,0.9911683564834616,0.92,an
kde,parametric-quad,exp,0.9774820876467384,0.92,an
kde,lsnm,gauss,0.9715085671626552,0.87,an
kde,anm,gauss,0.9765396094793837,0.87,an
hybrid,anm,gauss,0.9610136374359938,0.86,an
kde,anm,exp,0.96611469579583,0.83,an
stein,anm,gauss,0.9196174410083195,0.8,an
kde,parametric-quad,gauss,0.8488972798861916,0.78,an
kde,parametric-lin,exp,0.8232805207831835,0.7,an
stein,anm,exp,0.8334763966384336,0.69,an
stein,nn,exp,0.7761035760261841,0.69,an
hybrid,lsnm,gauss,0.8042175162081048,0.67,an
stein,lsnm,exp,0.7991475203862554,0.64,an
stein,parametric-quad,exp,0.7843601803172113,0.63,an
kde,parametric-lin,gauss,0.6953127971677887,0.61,an
stein,parametric-lin,exp,0.7737400782918344,0.61,an
stein,lsnm,gauss,0.6746696894652426,0.57,an
hybrid,nn,gauss,0.47169525081010066,0.5,an
hybrid,anm,exp,0.3468752432450472,0.35,an
hybrid,parametric-quad,gauss,0.3194682774432646,0.33,an
stein,nn,gauss,0.13367384226097456,0.3,an
hybrid,parametric-lin,gauss,0.19498917761533582,0.26,an
stein,parametric-quad,gauss,0.09532558242157405,0.25,an
stein,parametric-lin,gauss,0.06795482739417921,0.15,an
hybrid,lsnm,exp,0.026647933498700045,0.13,an
hybrid,nn,exp,0.015549240080341245,0.11,an
hybrid,parametric-quad,exp,0.009795433158959236,0.08,an
hybrid,parametric-lin,exp,0.008708179101735054,0.06,an
kde,parametric-quad,exp,1.0,1.0,ans
lik,loci,loci,1.0,1.0,ans
hsic,loci,loci,0.99969898989899,0.98,ans
kde,parametric-lin,exp,0.9987509207510787,0.98,ans
kde,parametric-quad,gauss,0.9969626936605219,0.95,ans
kde,lsnm,exp,0.9970171371305974,0.94,ans
kde,nn,gauss,0.9905991082628975,0.93,ans
kde,lsnm,gauss,0.9923059544654995,0.92,ans
kde,nn,exp,0.9881015988924787,0.92,ans
kde,parametric-lin,gauss,0.9866736697993342,0.91,ans
stein,anm,exp,0.9716852800995137,0.89,ans
stein,nn,exp,0.9719140448428095,0.88,ans
stein,lsnm,exp,0.9684904049767892,0.87,ans
stein,parametric-quad,exp,0.9691434485452097,0.86,ans
stein,parametric-lin,exp,0.9690834270142807,0.86,ans
kde,anm,gauss,0.9675868443847249,0.83,ans
hybrid,lsnm,gauss,0.9281464981981398,0.83,ans
hybrid,anm,gauss,0.9229554172745915,0.82,ans
kde,anm,exp,0.9011021245526402,0.72,ans
hybrid,nn,gauss,0.8681061769877231,0.7,ans
stein,anm,gauss,0.7999212574305513,0.66,ans
hybrid,parametric-quad,gauss,0.705190170094048,0.57,ans
stein,lsnm,gauss,0.656370423794082,0.56,ans
hybrid,nn,exp,0.6101542903602831,0.53,ans
hybrid,parametric-lin,gauss,0.604520625788627,0.52,ans
hybrid,anm,exp,0.6284114060098731,0.51,ans
hybrid,lsnm,exp,0.5632805240847483,0.49,ans
hybrid,parametric-quad,exp,0.4783777736972539,0.44,ans
hybrid,parametric-lin,exp,0.45284268144940276,0.43,ans
