score, kernel, reg, model, bw_factor, bw_factor_joint, dataset, outlier_trim, test_size, AUDRC, success_rate, causal_mse, anticausal_mse, score_time, score_cause_mse, effect_score_mse, joint_score_mse, gof_causal, gof_anticausal, sample_sizel
stein,gauss,0.1,parametric-lin-exp,1,1,velocity,0.0, , 0.9732718330366764, 0.91,  nan, nan, 0.27510643005371094, nan, nan, nan, 0.7001458406448364, 1.390885829925537, 5000
kde,gauss,0.01,parametric-lin,1,1,anm,0.0, , 0.1815388167689768, 0.31,  nan, nan, 0.013739824295043945, nan, nan, nan, 1.2289235591888428, 1.0635449886322021, 5000
stein,gauss,0.1,parametric-quad-exp,1,1,anm,0.0, , 0.7038241644377378, 0.63,  nan, nan, 0.2764158248901367, nan, nan, nan, 0.22235748171806335, 0.2616928219795227, 5000
kde,exp,0.01,parametric-lin,1,1,anm,0.0, , 0.20781171347751978, 0.33,  nan, nan, 0.020846843719482422, nan, nan, nan, 0.8910679817199707, 0.8588621616363525, 5000
stein,exp,0.1,parametric-quad,1,1,velocity,0.0, , 0.6117786614664985, 0.59,  nan, nan, 0.27808427810668945, nan, nan, nan, 15.301248550415039, 16.03225326538086, 5000
stein,gauss,0.1,parametric-quad,1,1,velocity,0.0, , 0.9801922967564474, 0.96,  nan, nan, 0.27489161491394043, nan, nan, nan, 0.6463066339492798, 1.325134038925171, 5000
kde,gauss,0.01,parametric-quad,1,1,anm,0.0, , 0.21736242965711638, 0.32,  nan, nan, 0.014059305191040039, nan, nan, nan, 1.082219123840332, 0.9847111701965332, 5000
stein,gauss,0.1,anm,1,1,sigmoid,0.0, , 0.1556978794743867, 0.34,  nan, nan, 0.27512025833129883, nan, nan, nan, 0.22041362524032593, 0.21399414539337158, 5000
kde,exp,0.01,parametric-quad,1,1,anm,0.0, , 0.19279523825350486, 0.29,  nan, nan, 0.01578378677368164, nan, nan, nan, 0.6697896718978882, 0.47867700457572937, 5000
stein,exp,0.1,parametric-lin-exp,1,1,velocity,0.0, , 0.6175114091818419, 0.6,  nan, nan, 0.2779257297515869, nan, nan, nan, 15.344791412353516, 16.018373489379883, 5000
kde,exp,0.01,parametric-lin,1,1,lsnm,0.0, , 0.23116974036872673, 0.34,  nan, nan, 0.015472173690795898, nan, nan, nan, 0.887171745300293, 0.870077908039093, 5000
stein,gauss,0.1,anm,1,1,lsnm,0.0, , 0.6747048363170423, 0.61,  nan, nan, 0.2749955654144287, nan, nan, nan, 0.17210546135902405, 0.20611996948719025, 5000
stein,exp,0.1,anm,1,1,lsnm,0.0, , 0.20405925880613957, 0.38,  nan, nan, 0.27840161323547363, nan, nan, nan, 14.367242813110352, 14.144538879394531, 5000
kde,gauss,0.01,parametric-lin,1,1,lsnm,0.0, , 0.20183529351075521, 0.39,  nan, nan, 0.013651847839355469, nan, nan, nan, 1.0556612014770508, 1.0291063785552979, 5000
stein,exp,0.1,anm,1,1,sigmoid,0.0, , 0.40742053999790184, 0.35,  nan, nan, 0.2778043746948242, nan, nan, nan, 14.049135208129883, 13.864683151245117, 5000
stein,exp,0.1,anm,1,1,anm,0.0, , 0.14068827613172297, 0.26,  nan, nan, 0.278336763381958, nan, nan, nan, 15.371284484863281, 14.264120101928711, 5000
stein,gauss,0.1,anm,1,1,anm,0.0, , 0.9417244427740721, 0.92,  nan, nan, 0.2749059200286865, nan, nan, nan, 0.189608633518219, 0.38766634464263916, 5000
kde,exp,0.01,parametric-lin-exp,1,1,anm,0.0, , 0.27302750707687745, 0.41,  nan, nan, 0.015565156936645508, nan, nan, nan, 0.7743425369262695, 0.6751285195350647, 5000
kde,gauss,0.01,parametric-lin-exp,1,1,anm,0.0, , 0.24015998920669854, 0.35,  nan, nan, 0.014170169830322266, nan, nan, nan, 1.0619008541107178, 1.012296199798584, 5000
kde,gauss,0.01,parametric-quad,1,1,lsnm,0.0, , 0.15283743843777134, 0.34,  nan, nan, 0.013756752014160156, nan, nan, nan, 0.9909032583236694, 0.9732691049575806, 5000
stein,gauss,0.1,parametric-quad-exp,1,1,velocity,0.0, , 0.9832174934314625, 0.97,  nan, nan, 0.27474069595336914, nan, nan, nan, 0.5974801182746887, 1.2692739963531494, 5000
stein,exp,0.1,parametric-quad-exp,1,1,velocity,0.0, , 0.6179486446606086, 0.59,  nan, nan, 0.2783041000366211, nan, nan, nan, 15.295001983642578, 15.967107772827148, 5000
kde,exp,0.01,parametric-quad,1,1,lsnm,0.0, , 0.041988048787176685, 0.18,  nan, nan, 0.015612602233886719, nan, nan, nan, 0.5653557777404785, 0.4424065351486206, 5000
kde,gauss,0.01,parametric-lin-exp,1,1,lsnm,0.0, , 0.1876024580610946, 0.38,  nan, nan, 0.01388406753540039, nan, nan, nan, 1.023513674736023, 1.0023307800292969, 5000
kde,exp,0.01,parametric-lin-exp,1,1,lsnm,0.0, , 0.2702229423762993, 0.44,  nan, nan, 0.015725135803222656, nan, nan, nan, 0.7269337177276611, 0.727137565612793, 5000
kde,gauss,0.01,parametric-quad-exp,1,1,anm,0.0, , 0.21964543256884178, 0.31,  nan, nan, 0.013967752456665039, nan, nan, nan, 1.0156288146972656, 0.9518804550170898, 5000
kde,exp,0.01,parametric-lin,1,1,sigmoid,0.0, , 0.30522474711068054, 0.24,  nan, nan, 0.015439271926879883, nan, nan, nan, 0.922105073928833, 0.8510391116142273, 5000
kde,gauss,0.01,parametric-lin,1,1,sigmoid,0.0, , 0.42626676139427205, 0.3,  nan, nan, 0.01383066177368164, nan, nan, nan, 1.0390112400054932, 0.9793591499328613, 5000
kde,exp,0.01,parametric-quad-exp,1,1,anm,0.0, , 0.20017877402295867, 0.33,  nan, nan, 0.01571178436279297, nan, nan, nan, 0.6305623054504395, 0.42998456954956055, 5000
kde,gauss,0.01,parametric-quad,1,1,sigmoid,0.0, , 0.44879560853091377, 0.31,  nan, nan, 0.013896465301513672, nan, nan, nan, 0.9808462858200073, 0.9400402307510376, 5000
kde,exp,0.01,parametric-quad,1,1,sigmoid,0.0, , 0.3124200158261628, 0.22,  nan, nan, 0.015579938888549805, nan, nan, nan, 0.6146698594093323, 0.585162878036499, 5000
kde,exp,0.01,parametric-lin-exp,1,1,sigmoid,0.0, , 0.33644459771042895, 0.25,  nan, nan, 0.015825986862182617, nan, nan, nan, 0.9129418134689331, 0.844211220741272, 5000
kde,gauss,0.01,parametric-lin-exp,1,1,sigmoid,0.0, , 0.4288727174785225, 0.3,  nan, nan, 0.01384735107421875, nan, nan, nan, 1.0352568626403809, 0.9731687307357788, 5000
kde,gauss,0.01,parametric-quad-exp,1,1,lsnm,0.0, , 0.15647065092982865, 0.35,  nan, nan, 0.013733625411987305, nan, nan, nan, 0.978715181350708, 0.9700840711593628, 5000
kde,exp,0.01,parametric-lin,1,1,velocity,0.0, , 0.3353296210124148, 0.51,  nan, nan, 0.01573944091796875, nan, nan, nan, 1.0626531839370728, 1.1419864892959595, 5000
kde,gauss,0.01,parametric-lin,1,1,velocity,0.0, , 0.490058829981406, 0.59,  nan, nan, 0.013803243637084961, nan, nan, nan, 1.5650556087493896, 1.6542285680770874, 5000
stein,exp,0.1,anm,1,1,velocity,0.0, , 0.6409027497952628, 0.6,  nan, nan, 0.2783195972442627, nan, nan, nan, 15.280126571655273, 16.04167938232422, 5000
stein,gauss,0.1,anm,1,1,velocity,0.0, , 0.9728267732074901, 0.86,  nan, nan, 0.2759430408477783, nan, nan, nan, 0.6817280650138855, 1.2917320728302002, 5000
kde,gauss,0.01,parametric-quad-exp,1,1,sigmoid,0.0, , 0.44209069690444397, 0.3,  nan, nan, 0.013773679733276367, nan, nan, nan, 0.977697491645813, 0.9378699660301208, 5000
kde,gauss,0.01,parametric-quad,1,1,velocity,0.0, , 0.6442509661977541, 0.71,  nan, nan, 0.014457464218139648, nan, nan, nan, 1.0191688537597656, 1.5375895500183105, 5000
kde,exp,0.01,parametric-quad,1,1,velocity,0.0, , 0.5889208739693751, 0.69,  nan, nan, 0.015860795974731445, nan, nan, nan, 0.6103712320327759, 0.9550775289535522, 5000
kde,exp,0.01,anm,1,1,anm,0.0, , 0.17719732223080065, 0.3,  nan, nan, 0.01574540138244629, nan, nan, nan, 0.8771234154701233, 0.8230265378952026, 5000
kde,gauss,0.01,anm,1,1,anm,0.0, , 0.18022000052043693, 0.31,  nan, nan, 0.014391183853149414, nan, nan, nan, 1.2111268043518066, 1.0414947271347046, 5000
kde,exp,0.01,parametric-quad-exp,1,1,sigmoid,0.0, , 0.29556879152730225, 0.24,  nan, nan, 0.015940189361572266, nan, nan, nan, 0.6059120893478394, 0.5766243934631348, 5000
kde,exp,0.01,parametric-quad-exp,1,1,lsnm,0.0, , 0.03435011271027297, 0.15,  nan, nan, 0.020859956741333008, nan, nan, nan, 0.5455643534660339, 0.39742574095726013, 5000
kde,exp,0.01,parametric-lin-exp,1,1,velocity,0.0, , 0.5847070682479824, 0.67,  nan, nan, 0.015434980392456055, nan, nan, nan, 0.7563337087631226, 1.020503044128418, 5000
kde,gauss,0.01,parametric-lin-exp,1,1,velocity,0.0, , 0.6271514111291667, 0.68,  nan, nan, 0.014338016510009766, nan, nan, nan, 1.073889970779419, 1.575851559638977, 5000
kde,gauss,0.01,anm,1,1,lsnm,0.0, , 0.18140961890376642, 0.38,  nan, nan, 0.015279293060302734, nan, nan, nan, 1.0779156684875488, 1.0194942951202393, 5000
kde,exp,0.01,anm,1,1,lsnm,0.0, , 0.22891897392671495, 0.36,  nan, nan, 0.015997648239135742, nan, nan, nan, 0.8400286436080933, 0.8222324848175049, 5000
kde,gauss,0.01,anm,1,1,sigmoid,0.0, , 0.3305726687766252, 0.27,  nan, nan, 0.013718605041503906, nan, nan, nan, 1.0588642358779907, 0.9760080575942993, 5000
kde,exp,0.01,anm,1,1,sigmoid,0.0, , 0.25197218794388265, 0.24,  nan, nan, 0.015738248825073242, nan, nan, nan, 0.9339504837989807, 0.8387659192085266, 5000
kde,exp,0.01,parametric-quad-exp,1,1,velocity,0.0, , 0.5582028100294675, 0.68,  nan, nan, 0.01581573486328125, nan, nan, nan, 0.5906077027320862, 0.8966088891029358, 5000
